0.212:691.728,-274.595;32.304,491.463;778.914,-1,001.193;338.329,857.972;-44.946,-505.222;-396.824,-374.535;-957.013,-451.428;-588.561,-919.177;-408.436,-793.117;315.975,-737.413;304.628,-912.469;-818.901,-985.336;-229.646,173.5;-801.619,-187.066;120.738,269.522;-203.356,-218.645;-350.084,223.289;675.359,-46.964;652.073,-205.097;489.468,954.667;561.239,-105.985;-574.402,-386.111;-851.166,-187.739;115.775,-167.441;500.831,-907.155;-564.812,-672.143;343.501,-395.809;-144.052,542.654;-74.925,-642.965;-686.091,-525.482;-174.139,-947.775;266.172,21.112;812.038,-855.983;84.855,420.151;631.409,1,008.662;307.266,-586.808;799.072,912.449;645.159,63.395;-907.657,-570.543;-939.882,723.679;904.313,464.441;190.647,392.88;174.894,93.91;-935.304,664.237;122.355,663.079;343.749,-161.309;-298.769,-871.82;749.87,-292.127;-333.351,-577.549;24.349,100.011;
0.221:691.848,-273.179;31.399,492.558;780.325,-1,001.36;339.627,857.394;-45.626,-503.975;-395.409,-374.649;-958.311,-452.004;-587.489,-920.109;-407.017,-793.053;315.043,-738.485;305.429,-913.654;-817.589,-985.88;-228.308,173.978;-800.538,-187.987;119.377,269.928;-204.695,-218.164;-349.952,224.704;673.973,-47.277;652.664,-203.806;490.889,954.7;560.809,-107.339;-573.237,-386.924;-849.939,-188.454;115.768,-166.02;499.749,-906.234;-565.237,-670.788;343.832,-394.428;-142.879,541.854;-76.229,-642.402;-687.086,-526.496;-174.223,-946.357;265.873,22.501;812.952,-857.07;83.657,420.914;632.128,1,009.887;307.814,-588.119;800.17,911.548;646.22,64.339;-908.742,-571.46;-938.554,724.182;905.705,464.725;189.805,394.025;173.738,94.736;-933.992,663.693;120.944,663.244;342.331,-161.399;-297.657,-870.937;749.66,-290.722;-334.444,-578.456;25.699,99.514;
0.229:691.965,-271.805;30.52,493.622;781.695,-1,001.523;340.888,856.833;-46.287,-502.764;-394.033,-374.76;-959.573,-452.563;-586.448,-921.014;-405.638,-792.991;314.138,-739.527;306.203,-914.8;-816.314,-986.408;-227.01,174.443;-799.487,-188.881;118.055,270.322;-205.994,-217.698;-349.824,226.077;672.627,-47.581;653.239,-202.551;492.268,954.732;560.391,-108.654;-572.105,-387.714;-848.747,-189.149;115.761,-164.64;498.699,-905.34;-565.805,-669.428;344.153,-393.086;-141.739,541.076;-77.495,-641.855;-688.052,-527.481;-174.306,-944.98;265.584,23.85;813.84,-858.126;82.494,421.656;632.826,1,011.077;308.347,-589.392;801.236,910.672;647.433,64.889;-909.797,-572.349;-937.264,724.671;907.057,465;188.987,395.136;172.615,95.538;-932.718,663.164;119.574,663.405;340.926,-161.127;-296.348,-870.353;749.455,-289.357;-335.506,-579.337;26.998,99.034;
0.237:692.077,-270.474;29.67,494.651;783.021,-1,001.68;342.108,856.291;-46.926,-501.592;-392.703,-374.867;-960.794,-453.104;-585.44,-921.89;-404.305,-792.931;313.263,-740.535;306.952,-915.907;-815.081,-986.919;-225.752,174.893;-798.47,-189.747;116.775,270.703;-207.251,-217.247;-349.7,227.407;671.325,-47.876;653.794,-201.337;493.603,954.764;559.986,-109.926;-571.011,-388.478;-847.593,-189.821;115.754,-163.305;497.682,-904.474;-566.33,-668.167;344.465,-391.788;-140.636,540.324;-78.721,-641.326;-688.987,-528.434;-174.385,-943.647;265.303,25.155;814.699,-859.148;81.368,422.374;633.502,1,012.229;308.862,-590.624;802.268,909.825;648.634,65.433;-910.817,-573.21;-936.015,725.144;908.366,465.267;188.196,396.211;171.529,96.314;-931.485,662.652;118.247,663.56;339.598,-160.87;-295.113,-869.802;749.258,-288.037;-336.534,-580.19;28.253,98.572;
0.246:692.186,-269.191;28.85,495.644;784.299,-1,001.832;343.284,855.767;-47.543,-500.462;-391.419,-374.971;-961.97,-453.625;-584.469,-922.734;-403.019,-792.873;312.419,-741.507;307.673,-916.974;-813.892,-987.412;-224.541,175.327;-797.49,-190.581;115.542,271.071;-208.463,-216.812;-349.581,228.689;670.131,-48.515;654.012,-199.999;494.89,954.794;559.596,-111.153;-570.234,-389.52;-846.481,-190.47;115.748,-162.018;496.702,-903.64;-566.831,-666.968;344.765,-390.536;-139.572,539.599;-79.903,-640.815;-689.889,-529.353;-174.462,-942.362;265.033,26.414;815.528,-860.133;80.282,423.066;634.153,1,013.339;309.359,-591.812;803.263,909.009;649.8,65.961;-911.801,-574.041;-934.811,725.599;909.627,465.523;187.433,397.248;170.481,97.062;-930.296,662.159;116.969,663.71;338.328,-160.625;-293.931,-869.275;749.067,-286.764;-337.524,-581.011;29.461,98.126;
0.254:692.292,-267.937;28.048,496.614;785.549,-1,001.98;344.434,855.256;-48.146,-499.357;-390.168,-375.441;-963.121,-454.135;-583.519,-923.56;-401.761,-792.817;311.593,-742.457;308.378,-918.017;-812.729,-987.894;-223.355,175.752;-796.532,-191.397;114.335,271.431;-209.647,-216.387;-349.464,229.942;668.878,-49.196;654.218,-198.728;496.148,954.823;559.215,-112.353;-569.479,-390.533;-845.393,-191.103;115.742,-160.759;495.635,-902.724;-567.317,-665.802;345.058,-389.312;-138.532,538.89;-81.059,-640.316;-690.77,-530.251;-174.537,-941.105;264.769,27.645;816.338,-861.097;79.18,423.929;634.79,1,014.425;309.845,-592.973;804.237,908.21;650.944,66.48;-912.763,-574.852;-933.634,726.045;910.861,465.774;186.687,398.262;169.457,97.794;-929.133,661.676;115.719,663.856;337.089,-160.385;-292.779,-868.761;748.88,-285.519;-338.493,-581.815;30.642,97.691;
0.263:692.392,-266.763;27.298,497.523;786.719,-1,002.119;345.51,854.777;-48.71,-498.323;-389.032,-375.868;-964.198,-454.613;-582.629,-924.333;-400.567,-792.4;310.821,-743.347;309.037,-918.993;-811.64,-988.345;-222.246,176.149;-795.635,-192.161;113.206,271.767;-210.756,-215.989;-349.355,231.115;667.661,-49.867;654.409,-197.552;497.326,954.851;558.858,-113.476;-568.773,-391.479;-844.375,-191.697;115.736,-159.581;494.586,-901.82;-567.772,-664.712;345.333,-388.166;-137.559,538.226;-82.14,-639.849;-691.596,-531.092;-174.607,-939.929;264.521,28.797;817.096,-861.999;78.204,424.693;635.387,1,015.441;310.3,-594.06;805.147,907.463;652.016,66.965;-913.663,-575.612;-932.532,726.462;912.015,466.009;185.989,399.211;168.498,98.479;-928.045,661.224;114.548,663.994;335.931,-160.161;-291.701,-868.281;748.706,-284.354;-339.4,-582.567;31.748,97.283;
0.271:692.486,-265.65;26.586,498.384;787.829,-1,002.25;346.531,854.323;-49.245,-497.342;-387.97,-376.268;-965.22,-455.065;-581.786,-925.066;-399.471,-792.018;310.088,-744.19;309.663,-919.919;-810.608,-988.772;-221.194,176.525;-794.784,-192.885;112.136,272.087;-211.808,-215.611;-349.252,232.228;666.469,-50.534;654.59,-196.442;498.605,955.016;558.519,-114.54;-568.104,-392.376;-843.437,-192.288;115.731,-158.464;493.552,-900.93;-568.202,-663.68;345.593,-387.08;-136.636,537.597;-83.166,-639.406;-692.378,-531.89;-174.674,-938.814;264.287,29.889;817.815,-862.854;77.3,425.4;635.952,1,016.405;310.669,-595.295;806.011,906.754;653.033,67.426;-914.517,-576.333;-931.487,726.858;913.11,466.232;185.326,400.111;167.589,99.128;-927.013,660.796;113.439,664.124;334.833,-159.949;-290.68,-867.825;748.54,-283.249;-340.26,-583.281;32.796,96.896;
0.279:692.575,-264.601;25.916,499.196;788.874,-1,002.374;347.493,853.895;-49.749,-496.418;-386.975,-376.642;-966.182,-455.492;-580.992,-925.757;-398.455,-791.664;309.398,-744.985;310.253,-920.791;-809.636,-989.175;-220.203,176.88;-793.982,-193.567;111.127,272.387;-212.799,-215.256;-349.154,233.276;665.305,-51.196;654.759,-195.399;499.738,955.162;558.2,-115.544;-567.474,-393.22;-842.55,-192.847;115.725,-157.411;492.467,-900.156;-568.608,-662.708;345.839,-386.056;-135.766,537.004;-84.132,-638.989;-693.115,-532.641;-174.736,-937.763;264.066,30.918;818.492,-863.66;76.458,426.06;636.485,1,017.313;310.996,-596.389;806.825,906.086;653.991,67.861;-915.322,-577.012;-930.503,727.231;914.141,466.442;184.702,400.958;166.732,99.74;-926.041,660.393;112.393,664.246;333.799,-159.749;-289.719,-867.396;748.384,-282.208;-341.07,-583.953;33.784,96.532;
0.288:692.4,-263.454;25.289,499.954;789.851,-1,002.49;348.392,853.495;-50.22,-495.554;-386.049,-376.99;-967.082,-455.891;-580.249,-926.402;-397.513,-791.336;308.753,-745.728;310.803,-921.606;-808.727,-989.552;-219.277,177.212;-793.233,-194.205;110.184,272.669;-213.725,-214.923;-349.063,234.255;664.17,-51.851;654.917,-194.426;500.765,955.295;557.902,-116.481;-566.886,-394.009;-841.72,-193.37;115.72,-156.427;491.546,-899.498;-568.987,-661.8;346.068,-385.099;-134.953,536.45;-85.035,-638.599;-693.804,-533.343;-174.795,-936.781;263.859,31.88;819.125,-864.413;75.675,426.672;636.982,1,018.161;311.293,-597.381;807.585,905.462;654.887,68.267;-916.074,-577.646;-929.583,727.579;915.105,466.639;184.119,401.751;165.932,100.312;-925.133,660.015;111.416,664.36;332.833,-159.562;-288.82,-866.995;748.238,-281.235;-341.827,-584.581;34.707,96.192;
