0.22:34.139,-443.887;248.103,-233.373;-947.403,228.982;-57.929,-814.214;764.764,-935.37;544.978,107.878;947.101,-749.367;606.237,-919.603;-116.558,481.089;975.178,-676.885;884.634,505.734;-533.714,-22.176;192.935,300.956;-195.697,-253.324;55.538,-692.139;297.417,-940.25;-817.381,-991.605;663.418,-471.591;520.715,496.628;753.922,-484.269;-35.046,665.642;187.939,570.05;360.583,-730.726;-769.628,-996.387;453.659,754.059;-732.971,-52.692;963.071,-994.956;-712.246,-256.729;-841.303,-189.125;-992.351,383.328;767.531,310.175;675.98,-346.411;450.21,363.695;683.477,328.227;-971.974,-350.488;467.612,947.891;-934.026,769.332;206.815,785.08;-134.948,720.071;555.749,-295.926;-74.689,542.467;383.677,-293.704;822.044,-367.289;-793.07,808.221;898.749,917.509;195.035,-236.923;-562.394,826.673;-793.054,403.15;-626.375,558.111;-741.823,903.956;
0.229:32.859,-444.583;246.707,-233.79;-946.232,229.848;-57.912,-815.67;765.665,-934.226;543.593,107.426;946.233,-748.198;607.585,-920.154;-115.519,480.068;973.74,-676.658;883.178,505.699;-534.885,-21.309;192.697,302.393;-194.708,-254.394;54.152,-691.692;298.236,-941.454;-817.904,-992.964;662.646,-472.826;519.35,496.12;753.502,-485.663;-34.214,664.446;186.755,569.202;359.903,-732.014;-770.564,-997.503;452.235,754.364;-734.479,-52.576;961.615,-995.001;-713.689,-256.532;-840.229,-190.108;-992.897,381.978;766.478,309.169;674.587,-346.84;449.681,362.338;682.392,327.255;-970.529,-350.302;466.159,947.793;-933.102,768.207;208.188,785.568;-133.991,718.817;555.69,-294.471;-73.712,541.386;382.249,-294.016;820.657,-367.733;-794.28,807.366;900.206,917.488;195.497,-236.326;-563.478,827.646;-792.368,401.865;-627.279,559.253;-742.875,904.967;
0.237:31.693,-445.218;245.435,-234.171;-945.367,230.934;-57.896,-816.998;766.487,-933.182;542.331,107.013;945.441,-747.132;608.815,-920.655;-114.572,479.137;972.428,-676.45;881.851,505.668;-535.952,-20.519;192.479,303.703;-193.807,-255.369;52.888,-691.285;298.983,-942.552;-818.381,-994.204;661.941,-473.952;518.106,495.656;753.12,-486.935;-33.456,663.356;185.675,568.429;359.283,-733.188;-771.416,-998.522;450.937,754.643;-735.821,-52.473;960.288,-995.042;-715.005,-256.352;-839.012,-190.667;-993.394,380.746;765.518,308.251;673.317,-347.23;449.198,361.1;681.403,326.369;-969.212,-350.132;464.834,947.705;-932.259,767.18;209.439,786.012;-132.994,717.745;555.636,-293.144;-72.822,540.401;380.95,-294.301;819.392,-368.138;-795.371,806.595;901.534,917.468;195.351,-235.729;-564.693,828.382;-791.742,400.694;-628.39,559.998;-743.833,905.887;
0.245:30.57,-445.829;244.21,-234.537;-944.556,231.952;-57.881,-818.277;767.278,-932.178;541.116,106.615;944.679,-746.105;609.999,-921.138;-113.66,478.241;971.165,-676.251;880.572,505.637;-536.98,-19.759;192.27,304.965;-192.939,-256.308;51.671,-690.893;299.702,-943.609;-818.841,-995.397;661.263,-475.036;516.908,495.21;752.751,-488.159;-32.726,662.306;184.636,567.685;358.686,-734.319;-772.237,-999.502;449.687,754.911;-737.103,-52.374;959.01,-995.081;-716.271,-256.178;-837.847,-191.203;-993.873,379.561;764.593,307.368;672.095,-347.605;448.734,359.909;680.45,325.516;-967.944,-349.969;463.558,947.619;-931.448,766.192;210.644,786.44;-132.124,716.601;555.584,-291.866;-71.964,539.453;379.7,-294.574;818.175,-368.528;-796.418,805.856;902.812,917.449;195.564,-235.049;-565.816,829.063;-791.139,399.566;-629.455,560.711;-744.755,906.773;
0.265:29.493,-446.414;243.035,-234.887;-943.786,232.919;-57.866,-819.502;768.036,-931.215;539.951,106.234;943.948,-745.121;611.134,-921.601;-112.786,477.382;969.954,-676.06;879.347,505.608;-537.965,-19.03;192.07,306.174;-192.107,-257.208;50.504,-690.517;300.391,-944.623;-819.281,-996.54;660.613,-476.075;515.759,494.782;752.398,-489.333;-32.026,661.3;183.639,566.971;358.114,-735.403;-773.024,-1,000.441;448.488,755.168;-738.328,-52.279;957.785,-995.118;-717.486,-256.012;-836.732,-191.715;-994.333,378.425;763.707,306.521;670.923,-347.965;448.289,358.767;679.537,324.698;-966.728,-349.812;462.335,947.537;-930.67,765.245;211.799,786.85;-131.162,715.57;555.93,-290.759;-71.143,538.543;378.502,-294.836;817.008,-368.902;-797.421,805.148;904.037,917.431;195.175,-234.412;-566.876,829.706;-790.561,398.485;-630.475,561.394;-745.639,907.623;
0.274:26.993,-447.774;240.309,-235.702;-942.006,235.154;-57.832,-822.348;769.796,-928.979;537.246,105.35;942.252,-742.836;613.769,-922.676;-110.756,475.388;967.143,-675.616;876.502,505.54;-540.253,-17.337;191.604,308.981;-190.175,-259.297;47.795,-689.645;301.992,-946.976;-820.304,-999.196;659.103,-478.487;513.093,493.789;751.579,-492.058;-30.402,658.963;181.325,565.314;356.785,-737.919;-773.929,-1,002.917;445.706,755.764;-741.169,-52.06;954.94,-995.206;-720.305,-255.626;-834.144,-192.904;-995.399,375.786;761.65,304.555;668.203,-348.801;447.255,356.116;677.417,322.8;-963.906,-349.449;459.496,947.347;-928.865,763.045;214.48,787.803;-129.134,712.884;556.754,-288.12;-69.235,536.432;375.722,-295.444;814.298,-369.771;-799.746,803.505;906.883,917.389;193.054,-233.192;-569.325,831.19;-789.22,395.976;-632.841,562.979;-747.691,909.594;
0.284:25.985,-448.323;239.509,-235.905;-941.289,236.055;-57.818,-823.496;770.847,-928.283;536.155,104.993;941.568,-741.914;614.832,-923.109;-109.938,474.583;966.009,-675.437;875.354,505.513;-541.176,-16.655;191.417,310.114;-189.396,-260.14;46.703,-689.293;302.638,-947.925;-820.717,-1,000.267;658.239,-479.093;512.017,493.388;751.248,-493.158;-29.747,658.021;180.392,564.646;356.249,-738.934;-773.949,-1,003.984;444.583,756.005;-742.315,-51.972;953.793,-995.241;-721.443,-255.471;-833.1,-193.383;-995.829,374.722;760.82,303.762;666.886,-348.909;446.838,355.046;676.562,322.034;-962.767,-349.302;458.35,947.271;-928.136,762.158;215.562,788.187;-128.153,711.845;557.09,-287.043;-68.465,535.58;374.6,-295.69;813.204,-370.121;-800.685,802.843;908.031,917.372;192.149,-232.672;-570.31,831.787;-789.006,394.734;-633.795,563.618;-748.519,910.39;
0.292:24.898,-448.914;238.535,-236.152;-940.517,237.024;-57.804,-824.733;771.931,-927.566;534.979,104.608;940.83,-740.921;615.977,-923.577;-109.055,473.716;964.788,-675.244;874.118,505.483;-542.17,-15.919;191.214,311.334;-188.556,-261.049;45.525,-688.914;303.334,-948.948;-821.162,-1,001.422;657.071,-479.358;510.858,492.956;750.892,-494.342;-29.04,657.005;179.386,563.925;355.671,-740.028;-773.693,-1,005.184;443.374,756.264;-743.549,-51.877;952.556,-995.279;-722.668,-255.303;-831.976,-193.9;-996.292,373.575;759.925,302.908;665.56,-349.017;446.388,353.894;675.641,321.208;-961.54,-349.144;457.116,947.188;-927.351,761.201;216.728,788.601;-127.227,710.627;557.455,-285.873;-67.635,534.662;373.392,-295.954;812.026,-370.499;-801.695,802.129;909.268,917.354;191.133,-232.088;-571.37,832.43;-788.785,393.453;-634.823,564.307;-749.411,911.247;
0.3:23.465,-449.694;236.93,-236.314;-939.5,238.3;-57.784,-826.365;773.295,-926.664;533.428,104.101;939.857,-739.61;617.488,-924.193;-107.891,472.572;963.175,-674.989;872.486,505.445;-543.483,-14.948;190.947,312.944;-187.448,-262.247;43.894,-688.761;304.252,-950.297;-821.748,-1,002.945;655.481,-479.719;509.328,492.386;750.422,-495.905;-28.109,655.665;178.059,562.975;354.909,-741.471;-773.352,-1,006.779;441.778,756.607;-745.176,-51.752;950.925,-995.329;-724.285,-255.082;-830.493,-194.581;-996.904,372.061;758.745,301.78;663.929,-349.15;445.796,352.373;674.425,320.119;-959.921,-348.936;455.488,947.079;-926.316,759.94;218.346,788.75;-126.121,709.401;557.941,-284.316;-66.541,533.452;371.797,-296.303;810.472,-370.997;-803.028,801.187;910.9,917.33;189.722,-231.276;-572.766,833.276;-788.506,391.842;-636.179,565.215;-750.588,912.378;
0.309:21.99,-450.496;235.26,-236.483;-938.455,239.613;-57.764,-828.043;774.695,-925.737;531.832,103.579;938.857,-738.263;619.043,-924.827;-106.694,471.395;961.517,-674.727;870.808,505.405;-544.832,-13.95;190.673,314.6;-186.308,-263.48;42.222,-688.605;305.196,-951.685;-822.352,-1,004.511;653.844,-480.09;507.755,491.8;749.938,-497.513;-27.15,654.287;176.695,561.998;354.125,-742.956;-773.002,-1,008.421;440.136,756.958;-746.85,-51.623;949.248,-995.248;-725.948,-254.854;-828.967,-195.282;-997.532,370.505;757.532,300.62;662.256,-349.287;445.186,350.809;673.175,318.999;-958.257,-348.722;453.813,946.967;-925.251,758.642;220.017,788.904;-125.1,708.068;558.442,-282.713;-65.415,532.206;370.158,-296.662;808.873,-371.509;-804.399,800.219;912.578,917.305;188.267,-230.439;-574.201,834.146;-788.221,390.188;-637.574,566.149;-751.798,913.541;
